id	query	planner_status	repairs	model_output	executable_plan	semantic_highest	semantic_accepted	private_results	ui_matches	notes
001	recent trip	PASS	0	{"v":2,"q":"recent trip","intent":"browse","ops":[["travel","outside_normal","trip"],["sort","newest","recent"]]}	[travel == outside_normal] SORT_DATE				7589	qp_expected=pass; travel_scope=pass; person_absence=pass; retrieval=nonempty
002	my photos last 3 years	PASS	0	{"v":2,"q":"my photos last 3 years","intent":"browse","ops":[["self","my"],["media","photos"],["relative_date","last","3","years","last 3 years"]]}	[person == ravi] && [mime type == photos] && [from_date == 2023-08-22] && [to_date == 2026-08-22]				287	qp_expected=pass; self=pass; media=pass; temporal=pass; retrieval=nonempty
003	birthday photos since 3 months	PASS	0	{"v":2,"q":"birthday photos since 3 months","intent":"browse","ops":[["term","birthday","semantic"],["media","photos"],["relative_date","since","3","months","since 3 months"]]}	[mime type == photos] && [from_date == 2026-05-22] && [to_date == 2026-08-22] && [semantic == birthday]	0.074731	0		0	qp_expected=pass; semantic=pass; media=pass; temporal=pass; retrieval=zero_below_threshold
004	cycling in rain	PASS	0	{"v":2,"q":"cycling in rain","intent":"browse","ops":[["term","cycling in rain","semantic"]]}	[semantic == cycling in rain]	0.150546	11	0	11	qp_expected=pass; semantic=pass; no_spurious_condition=pass; gallery_retrieval=nonempty; private_retrieval=zero
005	cycling in rain this year	PASS	0	{"v":2,"q":"cycling in rain this year","intent":"browse","ops":[["term","cycling in rain","semantic"],["relative_date","this","year","this year"]]}	[from_date == 2026-01-01] && [to_date == 2026-08-22] && [semantic == cycling in rain]	0.099981	0	0	0	qp_expected=pass; semantic=pass; temporal=pass; retrieval=zero_below_threshold
006	Ramani dancing photos	FAIL	2	{"v":2,"q":"Ramani dancing","intent":"browse","ops":[{"person","Ramani"},{"media","photos"}]}					0	qp_expected=fail; malformed_json=final; semantic_missing=fail; query_rewrite_dropped_photos=fail
007	Ramani birthday photos	REPAIRED	1	{"v":2,"q":"Ramani birthday photos","intent":"browse","ops":[["person","Ramani"],["media","photos"],["term","birthday","semantic"]]}	[person == Ramani] && [mime type == photos] && [semantic == birthday]	0.129709	40		40	qp_expected=pass_after_repair; person=pass; media=pass; semantic=pass; retrieval=nonempty
008	Ravi photos at BR Hills	PASS	0	{"v":2,"q":"Ravi photos at BR Hills","intent":"browse","ops":[["person","ravi"],["media","photos"],["location","BR Hills"]]}	[person == ravi] && [mime type == photos] && [location == BR Hills]				0	qp_expected=pass; person=pass; media=pass; location=pass; retrieval=zero
009	Ravi photos at Goa since 3 years	PASS	0	{"v":2,"q":"Ravi photos at Goa since 3 years","intent":"browse","ops":[["person","ravi"],["media","photos"],["location","Goa"],["relative_date","since","3","years","since 3 years"]]}	[person == ravi] && [mime type == photos] && [location == Goa] && [from_date == 2023-08-22] && [to_date == 2026-08-22]				20	qp_expected=pass; person=pass; media=pass; location=pass; temporal=pass; retrieval=nonempty
010	my videos in rain	PASS	0	{"v":2,"q":"my videos in rain","intent":"browse","ops":[["media","videos"],["term","rain","semantic"]]}	[mime type == videos] && [semantic == rain]	0.123297	33		33	qp_expected=fail; self_missing=fail; media=pass; semantic=pass; retrieval=nonempty
011	photos of sunset	PASS	0	{"v":2,"q":"photos of sunset","intent":"browse","ops":[["term","photos","all"],["term","sunset","semantic"]]}	[semantic == sunset] && [keyword == {photos}]	0.125105	351	0	212	qp_expected=fail; media_missing=fail; spurious_keyword_photos=fail; semantic=pass; retrieval=nonempty
