id	family	query	expected	planner_status	repairs	raw_e2b_output	first_invalid_output	accepted_summary	executable_plan
001	scene	sunset pictures	browse; media photos; semantic sunset	ACCEPTED	0	"{""v"":2,""q"":""sunset pictures"",""intent"":""browse"",""ops"":[[""media"",""photos""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[mime type == photos]	[mime type == photos]
002	scene	beach photos	browse; media photos; semantic beach	ACCEPTED	0	"{""v"":2,""q"":""beach photos"",""intent"":""browse"",""ops"":[[""media"",""photos""],[""location"",""beach""]]}"		category=scenary, semantic=0, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+visual, metadataFields=location, ops=[mime type == photos] && [location == beach]	[mime type == photos] && [location == beach]
003	scene	dogs running	browse; one semantic dogs running	ACCEPTED	0	"{""v"":2,""q"":""dogs running"",""intent"":""browse"",""ops"":[[""term"",""dogs running"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == dogs running]	[semantic == dogs running]
004	scene	cycling in rain	browse; one semantic cycling in rain	ACCEPTED	0	"{""v"":2,""q"":""cycling in rain"",""intent"":""browse"",""ops"":[[""term"",""cycling in rain"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == cycling in rain] && [keyword == {cycling} && {in} && {rain}]	[semantic == cycling in rain] && [keyword == {cycling} && {in} && {rain}]
005	scene	snowy mountains	browse; one semantic snowy mountains	ACCEPTED	0	"{""v"":2,""q"":""snowy mountains"",""intent"":""browse"",""ops"":[[""term"",""snowy mountains"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == snowy mountains] && [keyword == {snowy} && {mountains}]	[semantic == snowy mountains] && [keyword == {snowy} && {mountains}]
006	scene	food on a table	browse; one semantic food on a table	ACCEPTED	0	"{""v"":2,""q"":""food on a table"",""intent"":""browse"",""ops"":[[""term"",""food"",""semantic+all""],[""term"",""table"",""semantic+all""]]}"		category=scenary, semantic=2, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == food] && [semantic == table] && [keyword == {food} && {table}]	[semantic == food] && [semantic == table] && [keyword == {food} && {table}]
007	scene	indoor birthday party	browse; one semantic indoor birthday party	ACCEPTED	0	"{""v"":2,""q"":""indoor birthday party"",""intent"":""browse"",""ops"":[[""term"",""indoor party"",""semantic""],[""term"",""birthday"",""semantic""]]}"		category=scenary, semantic=2, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == indoor party] && [semantic == birthday]	[semantic == indoor party] && [semantic == birthday]
008	scene	night city lights	browse; one semantic night city lights	ACCEPTED	0	"{""v"":2,""q"":""night city lights"",""intent"":""browse"",""ops"":[[""term"",""night lights"",""semantic+all""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == night lights] && [keyword == {night} && {lights}]	[semantic == night lights] && [keyword == {night} && {lights}]
009	scene	kids playing football	browse; one semantic kids playing football	ACCEPTED	0	"{""v"":2,""q"":""kids playing football"",""intent"":""browse"",""ops"":[[""term"",""kids playing football"",""semantic""]]}"		category=scenary, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=visual, metadataFields=, ops=[semantic == kids playing football]	[semantic == kids playing football]
010	scene	red car	browse; one semantic red car	ACCEPTED	0	"{""v"":2,""q"":""red car"",""intent"":""answer:text"",""ops"":[[""term"",""car"",""semantic+all""]]}"		category=doc, semantic=1, people=0, excludedPeople=0, negative=0, recent=false, evidence=metadata+ocr, metadataFields=, ops=[semantic == car] && [keyword == {car}]	[semantic == car] && [keyword == {car}]
