id	family	query	expected
002	scene	beach photos	browse; media photos; semantic beach
007	scene	indoor birthday party	browse; one semantic indoor birthday party
008	scene	night city lights	browse; one semantic night city lights
011	media_scene	videos of dancing	browse; media videos; semantic dancing
013	media_scene	videos of fireworks at night	browse; media videos; one semantic fireworks at night
014	media_scene	selfies at the beach	browse; media photos; semantic selfie and beach; no self face
015	media_scene	portrait photos	browse; media photos; semantic portrait
020	media_scene	blurry photos	browse; media photos; semantic blurry
021	people	Ramani photos	browse; person Ramani; media photos
022	people	Ravi and Ramani together	browse; people Ravi and Ramani
025	people	Ramani only	browse; person Ramani; people_only
026	people	me with Ramani alone	browse; self; person Ramani; people_only
028	people	Ravi cycling in rain	browse; person Ravi; one semantic cycling in rain
029	people	photos of Ramani without Ravi	browse; person Ramani; not_person Ravi; media photos
056	combined	Ramani beach photos last month	browse; person Ramani; semantic beach; media photos; last month
062	combined	birthday photos from Bangalore excluding cake	browse; semantic birthday; media photos; location Bangalore; not_term cake
068	combined	dogs running on beach this week	browse; semantic dogs running on beach; this week
074	combined	screenshots containing payment failed	browse; screenshot scope; mandatory written payment failed content
092	typo	Ramni dancng photos	browse; correct Ramani dancing; person Ramani; semantic dancing; media photos
098	colloquial	no Ravi just Ramani photos	browse; person Ramani; not_person Ravi; people_only; media photos
100	colloquial	find my night videos	browse; self; media videos; daypart night
